Combination,Annualized Return,Benchmark Relative,Standard Deviation,Maximum Drawdown
"MSTY:65%, JEPQ:10%, SCHD:0%, SCHY:25%",95.5,78.1,47.0,18.8
"MSTY:65%, JEPQ:10%, SCHD:5%, SCHY:20%",94.9,77.5,47.0,18.9
"MSTY:65%, JEPQ:10%, SCHD:10%, SCHY:15%",94.3,76.9,47.0,18.9
"MSTY:65%, JEPQ:10%, SCHD:15%, SCHY:10%",93.6,76.3,47.1,19.0
"MSTY:65%, JEPQ:10%, SCHD:20%, SCHY:5%",93.0,75.7,47.1,19.0
"MSTY:65%, JEPQ:10%, SCHD:25%, SCHY:0%",92.4,75.1,47.1,19.1
"MSTY:65%, JEPQ:15%, SCHD:0%, SCHY:20%",95.1,77.7,47.1,18.8
"MSTY:65%, JEPQ:15%, SCHD:5%, SCHY:15%",94.4,77.1,47.1,18.9
"MSTY:65%, JEPQ:15%, SCHD:10%, SCHY:10%",93.8,76.5,47.2,18.9
"MSTY:65%, JEPQ:15%, SCHD:15%, SCHY:5%",93.2,75.9,47.2,19.0
"MSTY:65%, JEPQ:15%, SCHD:20%, SCHY:0%",92.6,75.3,47.2,19.0
"MSTY:65%, JEPQ:20%, SCHD:0%, SCHY:15%",94.6,77.3,47.2,18.8
"MSTY:65%, JEPQ:20%, SCHD:5%, SCHY:10%",94.0,76.7,47.3,18.8
"MSTY:65%, JEPQ:20%, SCHD:10%, SCHY:5%",93.4,76.1,47.3,18.9
"MSTY:65%, JEPQ:20%, SCHD:15%, SCHY:0%",92.8,75.5,47.3,18.9
"MSTY:65%, JEPQ:25%, SCHD:0%, SCHY:10%",94.2,76.9,47.4,18.7
"MSTY:65%, JEPQ:25%, SCHD:5%, SCHY:5%",93.6,76.3,47.4,18.8
"MSTY:65%, JEPQ:25%, SCHD:10%, SCHY:0%",93.0,75.7,47.4,18.8
"MSTY:65%, JEPQ:30%, SCHD:0%, SCHY:5%",93.8,76.5,47.5,18.7
"MSTY:65%, JEPQ:30%, SCHD:5%, SCHY:0%",93.2,75.9,47.5,18.7
"MSTY:65%, JEPQ:35%, SCHD:0%, SCHY:0%",93.4,76.1,47.6,18.7
"MSTY:70%, JEPQ:0%, SCHD:0%, SCHY:30%",102.2,84.9,49.4,19.7
"MSTY:70%, JEPQ:0%, SCHD:5%, SCHY:25%",101.6,84.2,49.4,19.8
"MSTY:70%, JEPQ:0%, SCHD:10%, SCHY:20%",101.0,83.6,49.5,19.8
"MSTY:70%, JEPQ:0%, SCHD:15%, SCHY:15%",100.4,83.0,49.5,19.9
"MSTY:70%, JEPQ:0%, SCHD:20%, SCHY:10%",99.8,82.4,49.5,19.9
"MSTY:70%, JEPQ:0%, SCHD:25%, SCHY:5%",99.2,81.8,49.5,19.9
"MSTY:70%, JEPQ:0%, SCHD:30%, SCHY:0%",98.6,81.2,49.6,20.0
"MSTY:70%, JEPQ:5%, SCHD:0%, SCHY:25%",101.8,84.4,49.5,19.7
"MSTY:70%, JEPQ:5%, SCHD:5%, SCHY:20%",101.2,83.8,49.5,19.7
"MSTY:70%, JEPQ:5%, SCHD:10%, SCHY:15%",100.6,83.2,49.5,19.8
"MSTY:70%, JEPQ:5%, SCHD:15%, SCHY:10%",100.0,82.6,49.6,19.8
"MSTY:70%, JEPQ:5%, SCHD:20%, SCHY:5%",99.4,82.0,49.6,19.9
"MSTY:70%, JEPQ:5%, SCHD:25%, SCHY:0%",98.7,81.4,49.6,19.9
"MSTY:70%, JEPQ:10%, SCHD:0%, SCHY:20%",101.4,84.0,49.6,19.6
"MSTY:70%, JEPQ:10%, SCHD:5%, SCHY:15%",100.8,83.4,49.6,19.7
"MSTY:70%, JEPQ:10%, SCHD:10%, SCHY:10%",100.2,82.8,49.6,19.7
"MSTY:70%, JEPQ:10%, SCHD:15%, SCHY:5%",99.5,82.2,49.7,19.8
"MSTY:70%, JEPQ:10%, SCHD:20%, SCHY:0%",98.9,81.6,49.7,19.8
"MSTY:70%, JEPQ:15%, SCHD:0%, SCHY:15%",100.9,83.6,49.7,19.6
"MSTY:70%, JEPQ:15%, SCHD:5%, SCHY:10%",100.3,83.0,49.7,19.7
"MSTY:70%, JEPQ:15%, SCHD:10%, SCHY:5%",99.7,82.4,49.8,19.7
"MSTY:70%, JEPQ:15%, SCHD:15%, SCHY:0%",99.1,81.8,49.8,19.7
"MSTY:70%, JEPQ:20%, SCHD:0%, SCHY:10%",100.5,83.2,49.8,19.6
"MSTY:70%, JEPQ:20%, SCHD:5%, SCHY:5%",99.9,82.6,49.9,19.6
"MSTY:70%, JEPQ:20%, SCHD:10%, SCHY:0%",99.3,82.0,49.9,19.7
"MSTY:70%, JEPQ:25%, SCHD:0%, SCHY:5%",100.1,82.8,50.0,19.5
"MSTY:70%, JEPQ:25%, SCHD:5%, SCHY:0%",99.5,82.2,50.0,19.6
"MSTY:70%, JEPQ:30%, SCHD:0%, SCHY:0%",99.7,82.4,50.1,19.5
"MSTY:75%, JEPQ:0%, SCHD:0%, SCHY:25%",108.1,90.7,51.9,20.5
"MSTY:75%, JEPQ:0%, SCHD:5%, SCHY:20%",107.5,90.1,51.9,20.5
"MSTY:75%, JEPQ:0%, SCHD:10%, SCHY:15%",106.9,89.5,52.0,20.5
"MSTY:75%, JEPQ:0%, SCHD:15%, SCHY:10%",106.2,88.9,52.0,20.6
"MSTY:75%, JEPQ:0%, SCHD:20%, SCHY:5%",105.6,88.3,52.0,20.6
"MSTY:75%, JEPQ:0%, SCHD:25%, SCHY:0%",105.0,87.7,52.0,20.7
"MSTY:75%, JEPQ:5%, SCHD:0%, SCHY:20%",107.6,90.3,52.0,20.4
"MSTY:75%, JEPQ:5%, SCHD:5%, SCHY:15%",107.0,89.7,52.0,20.5
"MSTY:75%, JEPQ:5%, SCHD:10%, SCHY:10%",106.4,89.1,52.1,20.5
"MSTY:75%, JEPQ:5%, SCHD:15%, SCHY:5%",105.8,88.5,52.1,20.6
"MSTY:75%, JEPQ:5%, SCHD:20%, SCHY:0%",105.2,87.9,52.1,20.6
"MSTY:75%, JEPQ:10%, SCHD:0%, SCHY:15%",107.2,89.9,52.1,20.4
"MSTY:75%, JEPQ:10%, SCHD:5%, SCHY:10%",106.6,89.3,52.2,20.4
"MSTY:75%, JEPQ:10%, SCHD:10%, SCHY:5%",106.0,88.7,52.2,20.5
"MSTY:75%, JEPQ:10%, SCHD:15%, SCHY:0%",105.4,88.1,52.2,20.5
"MSTY:75%, JEPQ:15%, SCHD:0%, SCHY:10%",106.8,89.5,52.2,20.4
"MSTY:75%, JEPQ:15%, SCHD:5%, SCHY:5%",106.2,88.9,52.3,20.4
"MSTY:75%, JEPQ:15%, SCHD:10%, SCHY:0%",105.6,88.3,52.3,20.4
"MSTY:75%, JEPQ:20%, SCHD:0%, SCHY:5%",106.4,89.1,52.4,20.3
"MSTY:75%, JEPQ:20%, SCHD:5%, SCHY:0%",105.8,88.5,52.4,20.4
"MSTY:75%, JEPQ:25%, SCHD:0%, SCHY:0%",106.0,88.7,52.5,20.3
"MSTY:80%, JEPQ:0%, SCHD:0%, SCHY:20%",113.9,96.6,54.4,21.2
"MSTY:80%, JEPQ:0%, SCHD:5%, SCHY:15%",113.3,96.0,54.4,21.2
"MSTY:80%, JEPQ:0%, SCHD:10%, SCHY:10%",112.7,95.4,54.4,21.2
"MSTY:80%, JEPQ:0%, SCHD:15%, SCHY:5%",112.1,94.8,54.4,21.3
"MSTY:80%, JEPQ:0%, SCHD:20%, SCHY:0%",111.5,94.2,54.5,21.3
"MSTY:80%, JEPQ:5%, SCHD:0%, SCHY:15%",113.5,96.2,54.5,21.1
"MSTY:80%, JEPQ:5%, SCHD:5%, SCHY:10%",112.9,95.6,54.5,21.2
"MSTY:80%, JEPQ:5%, SCHD:10%, SCHY:5%",112.3,95.0,54.5,21.2
"MSTY:80%, JEPQ:5%, SCHD:15%, SCHY:0%",111.7,94.4,54.5,21.2
"MSTY:80%, JEPQ:10%, SCHD:0%, SCHY:10%",113.1,95.8,54.6,21.1
"MSTY:80%, JEPQ:10%, SCHD:5%, SCHY:5%",112.5,95.2,54.6,21.1
"MSTY:80%, JEPQ:10%, SCHD:10%, SCHY:0%",111.9,94.6,54.6,21.2
"MSTY:80%, JEPQ:15%, SCHD:0%, SCHY:5%",112.7,95.4,54.7,21.1
"MSTY:80%, JEPQ:15%, SCHD:5%, SCHY:0%",112.1,94.8,54.7,21.1
"MSTY:80%, JEPQ:20%, SCHD:0%, SCHY:0%",112.3,94.9,54.8,21.0
"MSTY:85%, JEPQ:0%, SCHD:0%, SCHY:15%",119.8,102.4,56.7,21.8
"MSTY:85%, JEPQ:0%, SCHD:5%, SCHY:10%",119.2,101.8,56.8,21.9
"MSTY:85%, JEPQ:0%, SCHD:10%, SCHY:5%",118.6,101.2,56.8,21.9
"MSTY:85%, JEPQ:0%, SCHD:15%, SCHY:0%",118.0,100.6,56.8,21.9
"MSTY:85%, JEPQ:5%, SCHD:0%, SCHY:10%",119.4,102.0,56.9,21.8
"MSTY:85%, JEPQ:5%, SCHD:5%, SCHY:5%",118.8,101.4,56.9,21.8
"MSTY:85%, JEPQ:5%, SCHD:10%, SCHY:0%",118.2,100.8,56.9,21.9
"MSTY:85%, JEPQ:10%, SCHD:0%, SCHY:5%",119.0,101.6,57.0,21.7
"MSTY:85%, JEPQ:10%, SCHD:5%, SCHY:0%",118.3,101.0,57.0,21.8
"MSTY:85%, JEPQ:15%, SCHD:0%, SCHY:0%",118.5,101.2,57.1,21.7
"MSTY:90%, JEPQ:0%, SCHD:0%, SCHY:10%",125.6,108.3,59.1,22.4
"MSTY:90%, JEPQ:0%, SCHD:5%, SCHY:5%",125.0,107.7,59.1,22.5
"MSTY:90%, JEPQ:0%, SCHD:10%, SCHY:0%",124.4,107.1,59.1,22.5
"MSTY:90%, JEPQ:5%, SCHD:0%, SCHY:5%",125.2,107.9,59.2,22.4
"MSTY:90%, JEPQ:5%, SCHD:5%, SCHY:0%",124.6,107.3,59.2,22.4
"MSTY:90%, JEPQ:10%, SCHD:0%, SCHY:0%",124.8,107.5,59.3,22.4
"MSTY:95%, JEPQ:0%, SCHD:0%, SCHY:5%",131.4,114.1,61.3,23.0
"MSTY:95%, JEPQ:0%, SCHD:5%, SCHY:0%",130.8,113.5,61.3,23.1
"MSTY:95%, JEPQ:5%, SCHD:0%, SCHY:0%",131.0,113.7,61.4,23.0
"MSTY:100%, JEPQ:0%, SCHD:0%, SCHY:0%",137.2,119.9,63.5,23.6
